Local Authority Reference,Works Status,Works Type,Category Of Works,Description Of Works,Street,Location Of Works,Locality,Start Date,End Date,Reference,Responsible Company,Contact Telephone Number,Emergency Contact Telephone Number,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Location,Spatial Accuracy,Last Uploaded,Organisation URI
LA00528498,PROPOSED WORKS,MINOR,Streetworks,[Utility asset works] Installation of new fibre duct for a customer connection,Queen's Crescent,Outside 127/129 Queens Crescent,Haverstock,25/03/2025,27/03/2025,TF005--CB-CIV-23208,Hyperoptic Ltd,-,-,E05013660,Haverstock,528148.48,184979.1,-0.15318,51.549162,"(51.549162, -0.15318)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00508034,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,"Erection of scaffolding within hoarding on the public highway to shore up damaged brick pier in order to allow survey, safe demolition and rebuild of the pier.",Henrietta Mews,"Collinham Garden Nursery, 5",King's Cross,02/10/2023,02/04/2025,CM001-L-LIVE-00058601,Camden,-,-,E05013666,Kings Cross,530359.44,182406.22,-0.122263,51.525534,"(51.525534, -0.122263)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00528374,IN PROGRESS,MINOR,Streetworks,Marlborough working on behalf of London Borough of Camden. rl blocks by tree 2m,Templewood Avenue,so 2a,Frognal And Fitzjohns,22/03/2025,25/03/2025,CM045-G-LIVE-00294502,Camden,-,-,E05013657,Frognal,525690.84,186021.24,-0.188234,51.55908,"(51.55908, -0.188234)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00511349,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,Erection of hoarding on the public highway to facilitate refurbshment and extension of facade,Bedford Avenue,Side of 21 Bloomsbury Street,Bloomsbury,05/01/2024,05/07/2025,CM001-L-LIVE-00059128,Camden,-,-,E05013653,Bloomsbury,529861.51,181555.27,-0.12975,51.518001,"(51.518001, -0.12975)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00453647,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,Erection of scaffolding on the public highway to facilitate buidling works,Eton Avenue,s/o 100 Avenue Road,Belsize,30/07/2020,02/05/2025,LIC-L-LIVE-00051404,Camden,-,-,E05013667,Primrose Hill,527082.22,184459.44,-0.168737,51.544733,"(51.544733, -0.168737)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00528543,PROPOSED WORKS,MINOR,Streetworks,Marlborough working on behalf of London Borough of Camden. repoint small box,Hollycroft Avenue,os 24,Frognal And Fitzjohns,25/03/2025,27/03/2025,CM045-G-LIVE-00294590,Camden,-,-,E05013657,Frognal,525408.4,186109.66,-0.192275,51.559938,"(51.559938, -0.192275)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00528473,PROPOSED WORKS,MINOR,Streetworks,[New service connection] new track and toby,Hatton Place,o/s 15,Holborn And Covent Garden,24/03/2025,26/03/2025,TF007--CAM-1123073,Hyperoptic Ltd,-,-,E05013662,Holborn and Covent Garden,531354.28,181982.36,-0.108089,51.521495,"(51.521495, -0.108089)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00527393,PROPOSED REMEDIAL,MINOR,Streetworks,[Remedial works] Remedial work. 3 meters of duct to be installed in footway to boundary of property.,Hatton Garden,"OS 88 90 HATTON GARDEN LONDON , EC1N 8PN",Holborn And Covent Garden,26/03/2025,26/03/2025,BZC04-WG4RL49Z,Bt,-,-,E05013662,Holborn and Covent Garden,531347.42,181758.51,-0.108271,51.519485,"(51.519485, -0.108271)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00527296,PROPOSED WORKS,STANDARD,Streetworks,[Utility repair and maintenance works] Upgrade / Maintenance Works - Pole swap / Civils work / Wiltshire and RBS 6130 cab land / Kit removal / Clearview delivery of pole from location to site and Decom pole / WAH / C ab Works,York Way,In fway on York Way approx 26m Entrance Railway Yard& 136m jcn Good Way,St Pancras And Somers Town,02/06/2025,06/06/2025,YN125-CV-76811-CV-WK22-02,T-Mobile (Uk) Limited,-,-,E05013666,Kings Cross,530326.65,183325.14,-0.122396,51.5338,"(51.5338, -0.122396)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00525900,IN PROGRESS,STANDARD,Streetworks,"This application is to undertake a CCTV survey of the 36"" gas main situated along Eversholt Street.HS2 Highway works inside act limits  Additional Works location areas parking place, bus stop or stand",Eversholt Street,Between Grafton Place and Drummond Crescent,St Pancras And Somers Town,10/03/2025,07/04/2025,TA020-04325095,Hs2 Ltd,-,-,E05013668,Regents Park,529572.62,182842.37,-0.133438,51.529635,"(51.529635, -0.133438)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00520716,IN PROGRESS,MAJOR,Streetworks,"[Works for rail purposes] Preparation works, demolition and reconstruction of Agar Grove Bridge.   Road closure 00:01 11/11/24 - 11:59 27/02/25 continuous,   lane closure 11:59 27/02/25 - 20:00 07/03/2025 continuous,   20:00 07/03/2025 to 23:59 09/03/2025 continuous road closure   23:59 09/03/2025 to 23:59 02/05/2025 continuous lane closure  23:59 02/05/2025 to 23:59 04/05/2025 continuous road closure  23:59 04/05/2025 to 23:59 09/05/2025 continuous lane closure  23:59 09/05/2025 to 23:59 11/05/",Agar Grove,BRIDGE (ROAD OVER RAIL) NAMED: AGAR GROVE (INC ST AUGUSTINES RD) REFERENCED BY NETWORK RAIL AS-ELR:,Cantelowes,11/11/2024,12/05/2025,K634-165223-16-1,Network Rail -Promoters National,-,-,E05013654,Camden Square,529644.65,184329.53,-0.131853,51.542983,"(51.542983, -0.131853)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00528275,PROPOSED WORKS,MAJOR,Streetworks,[Highway improvement works] Footway reconstruction,Goldhurst Terrace,o/s 28-158 and o/s 19-129,Swiss Cottage,31/03/2025,09/05/2025,MH065-92628262,Camden,-,-,E05013670,South Hampstead,525925.72,184039.5,-0.185556,51.541218,"(51.541218, -0.185556)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00528112,PROPOSED WORKS,MINOR,Streetworks,[Utility asset works] WATER METER INSTALLATION IN FOOTWAY (3),Murray Mews,"20, 44, 21",Cantelowes,31/03/2025,02/04/2025,MU028-PMP-CAMDEN-0313173,Thames Water Utilities Ltd,-,-,E05013654,Camden Square,529687.95,184469.11,-0.131178,51.544228,"(51.544228, -0.131178)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00528300,PROPOSED WORKS,MINOR,Streetworks,Implementation Team: Elliott Della x 5138  Please arange and widen the crossover at 43 Belsize Roadto form a single wide crossover outside 43 and 45 Belsize Road.,Belsize Road,Outside 43 Belsize Road,Kilburn,03/04/2025,07/04/2025,CM045-G-LIVE-00293909,Camden,-,-,E05013670,South Hampstead,526398.79,184185.35,-0.178686,51.542423,"(51.542423, -0.178686)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00520145,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,"Erection of scaffolding on the public highway to facilitate demolition of 4th floor and roof, window/glazing removal, render and brickwork removal.",Drury Lane,Outside 161,Holborn And Covent Garden,30/10/2024,30/04/2025,CM001-L-LIVE-00060425,Camden,-,-,E05013662,Holborn and Covent Garden,530371.75,181234.52,-0.122519,51.515002,"(51.515002, -0.122519)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00528279,PROPOSED WORKS,MINOR,Streetworks,[Utility repair and maintenance works] Thames Water works to exchange chamber lid in FW & CW and setup TM to allow installation of Syrinix units,Avenue Road,Opposite 50 Avenue Road NW8 6HY,Swiss Cottage,31/03/2025,31/03/2025,MU093-OPS-NL-06804796,Thames Water Utilities Ltd,-,-,E05013667,Primrose Hill,526921.45,183876.26,-0.171264,51.539528,"(51.539528, -0.171264)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00527580,PROPOSED WORKS,MINOR,Streetworks,[Utility repair and maintenance works] X2 valve repairs via respindle to provide further control ofnetwork,Great Ormond Street,OPP 59-61,Holborn And Covent Garden,25/03/2025,27/03/2025,MU701-00705476-001,Thames Water Utilities Ltd,-,-,E05013662,Holborn and Covent Garden,530460.18,181979.17,-0.12097,51.521673,"(51.521673, -0.12097)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00528504,PROPOSED WORKS,MINOR,Streetworks,"[New service connection] Build 1 precast  chamber in 915mm x 445mm x 965mm deep in   Footway,Demolish 1 existing jointbox(s) or cabinet base(s),Install 2m   of 1 way poly duct in Footway",Iverson Road,"20400398 - OPP 55 ON, IVERSON ROAD",West Hampstead,25/03/2025,27/03/2025,BC410-LO00000500346667800,Bt,-,-,E05013671,West Hampstead,524958,184616,-0.199299,51.546614,"(51.546614, -0.199299)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00509659,WORKS ABANDONED,MAJOR,Streetworks,[Statutory infrastructure works] Capital Programmes: Installation of new Extra High Voltage electricity cables to ensure safe and reliable power supplies: Parking/Loading Bay Suspension: Bus Stop Suspension: Open cut trench excavation to lay new ducts for future EHV cable install.,Adelaide Road,From junction of St. John's wood park to junction of Winchester road.,Haverstock,20/02/2025,06/06/2025,EC400-12561160,Uk Power Networks Eastern& London,-,-,E05013667,Primrose Hill,526739.53,184123.76,-0.173797,51.541793,"(51.541793, -0.173797)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00525513,PROPOSED WORKS,MINOR,Streetworks,[Utility asset works] Sahara survey for Leak detection.,Kentish Town Road,"o/s 285/287 Kentish Town Road, London NW5 2AB",Camden Town,31/03/2025,31/03/2025,MU600-042T,Thames Water Utilities Ltd,-,-,E05013664,Kentish Town South,528989.89,184985.88,-0.141049,51.549032,"(51.549032, -0.141049)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00528554,PROPOSED WORKS,MINOR,Streetworks,Marlborough working on behalf of London Borough of Camden. pot hole x2 2m,Swain's Lane,lc 10,Highgate,25/03/2025,25/03/2025,CM045-G-LIVE-00294583,Camden,-,-,E05013661,Highgate,528483.77,187178.71,-0.147544,51.568853,"(51.568853, -0.147544)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00528206,WORKS ABANDONED,MINOR,Streetworks,[Utility asset works] TM only permit required for light head on the Westminster side of TOTTENHAM COURT ROAD,Tottenham Court Road,Outside 4 to 5,Bloomsbury,23/06/2025,25/06/2025,NK103-DIS161569-4,Virgin Media,-,-,,,529787.55,181446.2,-0.130856,51.517038,,Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00521915,WORKS ABANDONED,MINOR,Streetworks,[Utility asset works] CLEAR CW BLOCKAGE AND ROPE BOTH WAYS VM NETWORK,Prince Of Wales Road,outside 15,Haverstock,25/03/2025,27/03/2025,NK103-DIS162507,Virgin Media,-,-,E05013664,Kentish Town South,528778.97,184712.39,-0.144189,51.546622,"(51.546622, -0.144189)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00528582,PROPOSED WORKS,MINOR,Streetworks,FW50|1 x 2 m2M2|Footway - Other Damage (under 3m2)|Permanent Repair,Seddon Street,SEDDON STREET ro 7,King's Cross,21/03/2025,25/03/2025,CW064-50506436,Camden,-,-,E05013666,Kings Cross,530783.44,182546.79,-0.116102,51.5267,"(51.5267, -0.116102)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00527114,PROPOSED WORKS,MINOR,Streetworks,[Utility asset works] WATER METER INSTALLATION IN FOOTWAY (3),Gloucester Avenue,"85, 91, 107",Camden Town,31/03/2025,02/04/2025,MU028-PMP-CAMDEN-0311214,Thames Water Utilities Ltd,-,-,E05013667,Primrose Hill,528214.91,184057.82,-0.152558,51.540868,"(51.540868, -0.152558)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00528081,PROPOSED WORKS,STANDARD,Streetworks,"[Utility asset works] NEW WATER CONNECTION - Plot 1:1x25mm Barrier Pipe Domestic metered supply off125mm HPPE Offsite - 2.5m fw, 3.0m cw",King Henry's Road,Outside 44,Swiss Cottage,24/03/2025,27/03/2025,MU091-NLS00081350533-0055,Thames Water Utilities Ltd,-,-,E05013667,Primrose Hill,527727.89,184234.91,-0.159512,51.542569,"(51.542569, -0.159512)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00528565,PROPOSED WORKS,MINOR,Streetworks,Marlborough working on behalf of London Borough of Camden. rl 5 asps by tree,Chesterford Gardens,os 5,Frognal And Fitzjohns,26/03/2025,28/03/2025,CM045-G-LIVE-00294547,Camden,-,-,E05013657,Frognal,525934.48,185620.27,-0.184864,51.555422,"(51.555422, -0.184864)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00521286,PROPOSED WORKS,MINOR,Streetworks,[Utility asset works] Chamber desilt in carriageway,West End Lane,opposite 124,West Hampstead,27/04/2025,27/04/2025,NK103-DIS161597,Virgin Media,-,-,E05013671,West Hampstead,525521.99,184681.22,-0.191146,51.547075,"(51.547075, -0.191146)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00527635,PROPOSED WORKS,MAJOR,Streetworks,[Highway improvement works] Speed table in setts f/way buildout,North Villas,north villas from camden terrance to cantelowes road,Cantelowes,09/06/2025,16/08/2025,CW064-86229432,Camden,-,-,E05013654,Camden Square,529684.92,184654.48,-0.131153,51.545894,"(51.545894, -0.131153)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00525609,PROPOSED WORKS,STANDARD,Streetworks,[New service connection] Connections Projects: Installation of a new electricity supply for a customer: Parking/Loading Bay Suspension: Excavation of joint holes and track work for a new electrical connection.,Bayley Street,"Opp 11 -13, WC1B,",Bloomsbury,14/04/2025,29/04/2025,EC400-03836932,Uk Power Networks Eastern& London,-,-,E05013653,Bloomsbury,529722.97,181633.08,-0.131717,51.518733,"(51.518733, -0.131717)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00523354,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,Erection of scaffolding on the public highway to facilitate redecoration,Camden Mews,106,Cantelowes,11/11/2024,12/05/2025,CM001-L-LIVE-00060983,Camden,-,-,E05013654,Camden Square,529637.63,184671.38,-0.131828,51.546057,"(51.546057, -0.131828)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00525432,IN PROGRESS,MAJOR,Streetworks,"[Highway improvement works] Haverstock Hill Cycle Route - Footway & carriageway, buildouts, junctionimprovements, speed tables, carriageway surfacing",Haverstock Hill,OS 67 - JW Eton Road,Haverstock,10/03/2025,25/04/2025,MH065-48277499,Camden,-,-,E05013660,Haverstock,527869.14,184664.51,-0.157321,51.546398,"(51.546398, -0.157321)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00523580,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,Erection of scaffolding on the public highway to facilitate installation of new lighting,Woburn Walk,"Side of Ambassadors Hotel, 12 Upper Woburn Place",King's Cross,06/01/2025,07/04/2025,CM001-L-LIVE-00061017,Camden,-,-,E05013653,Bloomsbury,529837.46,182501.62,-0.129748,51.526512,"(51.526512, -0.129748)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00528107,PROPOSED WORKS,MINOR,Streetworks,WATER METER INSTALLATION IN CARRIAGEWAY (2),Waterside Place,"1, 3-4 (IN BETWEEN)",Camden Town,31/03/2025,02/04/2025,MU028-PMP-CAMDEN-0313164,Thames Water Utilities Ltd,-,-,E05013667,Primrose Hill,528355.1,183952.58,-0.150576,51.53989,"(51.53989, -0.150576)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00512810,PROPOSED REMEDIAL,MINOR,Streetworks,[Remedial works] To rectify self defect,Murray Street,O/S 9,Cantelowes,26/03/2025,27/03/2025,TF006-H240207132596240104,Hyperoptic Ltd,-,-,E05013654,Camden Square,529597.94,184387.9,-0.132505,51.543518,"(51.543518, -0.132505)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00527487,PROPOSED WORKS,STANDARD,Streetworks,"[New service connection] Connections Highway Services: Installation of a new electricity supply fora customer: Parking/Loading Bay Suspension: NEW SUPPLY TO A LAMP COLUMN, 3M EXCAVATION IN THE FOOTWAY",Holmes Road,"IN THE FOOTWAY OF HOLMES ROAD, J/W CATHCART STREET",Kentish Town,12/05/2025,16/05/2025,EC400-87821966,Uk Power Networks Eastern& London,-,-,E05013664,Kentish Town South,528695.99,185028.57,-0.14527,51.549482,"(51.549482, -0.14527)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00366639,PROPOSED WORKS,MAJOR,Streetworks,[Utility repair and maintenance works] District Meter - Meter exchange in c/w and verge and pillar exchange in f/w. Intended 1st time reinstatement,Hilgrove Road,On the Roundabout,Swiss Cottage,10/04/2025,15/04/2025,MU288-DM18422,Thames Water Utilities Ltd,-,-,E05013670,South Hampstead,526346.69,184113.86,-0.179462,51.541792,"(51.541792, -0.179462)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00523164,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,Erection of gantry on the public highway to facilitate fire remedial works,Polygon Road,Unite Students Somerset Crt/St Marys & St Pancras School,St Pancras And Somers Town,06/01/2025,07/07/2025,CM001-L-LIVE-00060962,Camden,-,-,E05013669,St Pancras and Somers Town,529636.68,183081.43,-0.132427,51.531768,"(51.531768, -0.132427)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00527177,IN PROGRESS,MAJOR,Streetworks,[Highway improvement works] install new paving kerbs and traffic signal,Whitfield Street,Whitfield Street  from 69 Whitfiled Street W1T 5JX to outside play centre,Bloomsbury,10/03/2025,04/04/2025,CW064-34487815,Camden,-,-,E05013653,Bloomsbury,529371.53,181966.01,-0.136657,51.521805,"(51.521805, -0.136657)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00528550,PROPOSED WORKS,MINOR,Streetworks,Marlborough working on behalf of London Borough of Camden. pot hole 1m,Swain's Lane,op lc 35,Highgate,25/03/2025,27/03/2025,CM045-G-LIVE-00294578,Camden,-,-,E05013661,Highgate,528561.28,186861.07,-0.146542,51.565981,"(51.565981, -0.146542)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00527745,PROPOSED WORKS,STANDARD,Streetworks,"[Disconnection or alteration of supply] Network Operations Maintenance: Electrical service upgrade of customer supply to ensure safe and reliable power supply: Parking/Loading Bay Suspension: to excavate in lady somerset road , by college lane , we will raise a second permit for college lane. to lift slabs in lady somerset road and excavate , temp walkway into  electric bays, will suspend, for paediatrician access, will suspend bays for vehicle parking. customer has requested work for internal r",Lady Somerset Road,"OUTSIDE COLLEGE LANE ,NW5 1BJ",Kentish Town,31/03/2025,08/04/2025,EC400-32107173,Uk Power Networks Eastern& London,-,-,E05013663,Kentish Town North,528765.57,185579.83,-0.144065,51.55442,"(51.55442, -0.144065)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00527781,PROPOSED WORKS,STANDARD,Streetworks,"[New service connection] NEW WATER CONNECTION, 1X90MM MDPE COMMERCIAL METERED SUPPLY OF 4"" CL OFFSITE IN CARRIAGEWAY & Disconnection 6"" MAIN",Gray's Inn Road,OPP 183-189,King's Cross,08/04/2025,15/04/2025,MU091-NLS0081247146-045,Thames Water Utilities Ltd,-,-,E05013666,Kings Cross,530701.65,182444.84,-0.117319,51.525802,"(51.525802, -0.117319)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00525548,PROPOSED WORKS,STANDARD,Streetworks,[Utility repair and maintenance works] Network Operations Distribution: Install / Replace / Remove electrical link box: Parking/Loading Bay Suspension: Approx. 6m excavation required to allow for removal of aged linkbox and provide room for siting and jointing of new box and cables,Bracknell Gardens,s/o 33 Heath Drive - NW3,Frognal And Fitzjohns,02/04/2025,07/04/2025,EC400-51457534,Uk Power Networks Eastern& London,-,-,E05013657,Frognal,525556.22,185694.56,-0.190291,51.556174,"(51.556174, -0.190291)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00528482,PROPOSED WORKS,MINOR,Streetworks,[Utility repair and maintenance works] Excavation required to provide telecoms/fibre services for customer. 1 meters of duct to be installed in footway to boundary of property.,Museum Street,OS 41 MUSEUM STREET WC1A 1LU HOLBORN,Holborn And Covent Garden,25/03/2025,25/03/2025,BZC04-WG6M159Z,Bt,-,-,E05013653,Bloomsbury,530152.66,181541.35,-0.125561,51.517809,"(51.517809, -0.125561)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00528548,PROPOSED WORKS,MINOR,Streetworks,Marlborough working on behalf of London Borough of Camden. repoint BT box,Ferncroft Avenue,os 16,Frognal And Fitzjohns,25/03/2025,27/03/2025,CM045-G-LIVE-00294624,Camden,-,-,E05013657,Frognal,525384.31,186010.62,-0.192657,51.559053,"(51.559053, -0.192657)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00528528,IN PROGRESS,IMMEDIATE (EMERGENCY),Streetworks,"[Utility repair and maintenance works] Build 1 concrete chamber  915mm x 445mm x 965mm   deep in Footway,Demolish 1 existing jointbox(s) or   cabinet base(s)",Frognal,20400141 - OS 35 ON FROGNAL,Frognal And Fitzjohns,21/03/2025,25/03/2025,BC410-LO00000500346994100,Bt,-,-,E05013657,Frognal,526214,185331,-0.180938,51.55276,"(51.55276, -0.180938)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00527886,PROPOSED WORKS,MINOR,Streetworks,[Utility asset works] Clear Blockage,Plender Street,OUTSIDE 3 & 8,St Pancras And Somers Town,01/04/2025,01/04/2025,NK103-ACC118828501-1,Virgin Media,-,-,E05013668,Regents Park,529155.67,183552.54,-0.139185,51.536112,"(51.536112, -0.139185)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00526906,PROPOSED WORKS,MINOR,Streetworks,"[Utility asset works] 2 way lights is required for safety of engineer to install new box and to layduct. Excavation is required in carriageway, footway and verge, and TM will be used to provide safeworking area throughout. 24 hour TM to remain in situ.",Fitzjohn's Avenue,O/S 84  FITZJOHNS AVENUE LONDON NW3 5LT,Frognal And Fitzjohns,16/04/2025,17/04/2025,BC008-WG3KL09ZETHSB,Bt,-,-,E05013659,Hampstead Town,526553.12,185390.56,-0.176028,51.553219,"(51.553219, -0.176028)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00528082,PROPOSED REMEDIAL,MINOR,Streetworks,"[Remedial works] Remedial works to correct defect, re-lay blocks, re-do   concrete and pointing",High Holborn,"20401175 -  OS 181 ON HIGH HOLBORN, HIGH HOLBORN",Holborn And Covent Garden,26/03/2025,27/03/2025,BC410-LO00000500346847600,Bt,-,-,E05013662,Holborn and Covent Garden,530273,181398,-0.123881,51.516493,"(51.516493, -0.123881)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00527294,PROPOSED WORKS,MINOR,Streetworks,[Utility repair and maintenance works] Upgrade / Maintenance Works - Civils only ground level (Wiltshire can root and ducting),York Way,In fway on York Way approx 26m Entrance Railway Yard & 136m Goods Way,St Pancras And Somers Town,29/05/2025,30/05/2025,YN125-CV-76811-CV-WK22-01,T-Mobile (Uk) Limited,-,-,E05013666,Kings Cross,530327.35,183324.62,-0.122386,51.533795,"(51.533795, -0.122386)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00525546,PROPOSED WORKS,STANDARD,Streetworks,[Utility repair and maintenance works] Network Operations Distribution: Install / Replace / Remove electrical link box: Approx. 6m excavation required to allow for removal of aged linkbox and provideroom for siting and jointing of new box and cables,Heath Drive,o/s 33 - NW3,Frognal And Fitzjohns,02/04/2025,08/04/2025,EC400-29398813,Uk Power Networks Eastern& London,-,-,E05013657,Frognal,525555.45,185699.37,-0.190301,51.556218,"(51.556218, -0.190301)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00521750,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,Erection of scaffolding on the public highway to facilitate refurbishment,Verulam Street,s/o 70 Grays Inn Road,Holborn And Covent Garden,02/10/2024,02/04/2025,CM001-L-LIVE-00060743,Camden,-,-,E05013662,Holborn and Covent Garden,531092.65,181851.43,-0.111906,51.520379,"(51.520379, -0.111906)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00500494,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,"Erection of hoarding on the public highway to facilitate decoration and windown replace,ent",Spring Place,3 - 6,Kentish Town,27/03/2023,01/05/2025,CM001-L-LIVE-00057203,Camden,-,-,E05013664,Kentish Town South,528559.52,185041,-0.147232,51.549625,"(51.549625, -0.147232)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00528480,PROPOSED WORKS,MINOR,Streetworks,[Utility repair and maintenance works] Telecoms engineers on site removing an existing antenna fromthe front of John Adams Hall. We will have Pedestrian Management maintaining 1.2m for pedestrians while works are taking place.,Endsleigh Street,o/s John Adams Hall (UCL),Bloomsbury,25/03/2025,25/03/2025,YN123-14613/ANT/SH/AC1,T-Mobile (Uk) Limited,-,-,E05013653,Bloomsbury,529745,182458,-0.131096,51.526141,"(51.526141, -0.131096)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
